name,bt,cg,ep,ft,is,lu,mg,sp,bt_compact,cg_compact,ep_compact,ft_compact,is_compact,lu_compact,mg_compact,sp_compact,Unnamed: 17,bt_speedup,cg_speedup,ep_speedup,ft_speedup,is_speedup,lu_speedup,mg_speedup,sp_speedup
bt_ft,485.4,,,152.303333,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.037206,,,1.237465,,,,
bt_is,487.31,,,,11.77,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.033141,,,,1.142736,,,
bt_lu,484.05,,,,,237.02,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.040099,,,,,1.105308,,
bt_mg,571.4,,,,,,22.495,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.881099,,,,,,1.495443,
bt_sp,,,,,,,,440.65,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,,,,,0.919346
cg_bt,472.24,174.44,,,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.066110,1.048154,,,,,,
cg_ft,,183.606667,,152.76,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.995824,,1.233765,,,,
cg_is,,189.253333,,,11.577407,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.966112,,,1.161745,,,
cg_lu,,178.423333,,,,234.325,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,1.024754,,,,1.118020,,
cg_mg,,268.27,,,,,22.623333,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.681552,,,,,1.486960,
cg_sp,,269.85,,,,,,436.19,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.677562,,,,,,0.928747
ep_bt,447.47,,30.412105,,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.125126,,0.981846,,,,,
ep_cg,,154.816667,30.582105,,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,1.181010,0.976388,,,,,
ep_ft,,,29.914211,142.926667,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,0.998188,1.318648,,,,
ep_is,,,29.694737,,10.585,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,1.005565,,1.270666,,,
ep_lu,,,29.953158,,,227.955,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,0.996890,,,1.149262,,
ep_mg,,,30.621667,,,,20.348519,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,0.975127,,,,1.653192,
ep_sp,,,31.594444,,,,,401.16,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,0.945103,,,,,1.009846
ft_is,,,,152.31,11.91037,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,1.237411,1.129268,,,
ft_mg,,,,177.083333,,,23.299565,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,1.064301,,,1.443804,
is_mg,,,,,14.983182,,23.193478,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,,0.897673,,1.450408,
lu_ft,,,,153.603333,,237.91,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,1.226992,,1.101173,,
lu_is,,,,,11.98,238.09,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,,1.122705,1.100340,,
lu_mg,,,,,,267.94,23.342174,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,,,0.977756,1.441168,
lu_sp,,,,,,274.585,,457.97,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,,,0.954094,,0.884578
sp_ft,,,,183.373333,,,,449.8,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,1.027794,,,,0.900645
sp_is,,,,,15.923333,,,448.69,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,,0.844672,,,0.902873
sp_mg,,,,,,,33.635625,588.38,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,,,,,,1.000130,0.688518
