socket_programs,bt,cg,ep,ft,is,lu,mg,sp,bt_compact,cg_compact,ep_compact,ft_compact,is_compact,lu_compact,mg_compact,sp_compact,bt_speedup,cg_speedup,ep_speedup,ft_speedup,is_speedup,lu_speedup,mg_speedup,sp_speedup
cg_bt_sp_lu,526.91,219.46,,,,236.26,,380.24,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.955495,0.833136,,,,1.108863,,1.065406
cg_ft_bt_lu,477.89,185.57,,141.63,,230.09,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.053506,0.985289,,1.330721,,1.138598,,
cg_ft_bt_sp,527.73,220.26,,145.22,,,,381.67,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.954011,0.830110,,1.297824,,,,1.061414
cg_ft_sp_lu,,234.54,,150.13,,241.45,,393.5,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.779569,,1.255379,,1.085028,,1.029504
cg_mg_bt_lu,512.9,212.19,,,,235.75,20.16,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.981595,0.861681,,,,1.111262,1.668651,
cg_mg_bt_sp,578.36,257.25,,,,,22.73,428.86,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.870496,0.710748,,,,,1.479982,0.944621
cg_mg_ft_bt,512.26,211.96,,143.34,,,20.37,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.982821,0.862616,,1.314846,,,1.651448,
cg_mg_ft_lu,,216.51,,144.09,,236.88,20.44,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.844488,,1.308002,,1.105961,1.645793,
cg_mg_ft_sp,,269.36,,158.8,,,23.19,439.08,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.678794,,1.186839,,,1.450625,0.922634
cg_mg_sp_lu,,272.76,,,,258.56,23.44,436.68,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.670333,,,,1.013227,1.435154,0.927704
ep_bt_sp_lu,514.16,,31.55,,,234.21,,365.01,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.979189,,0.946434,,,1.118569,,1.109860
ep_cg_bt_lu,454.2,162.86,29.93,,,222.77,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.108454,1.122682,0.997661,,,1.176011,,
ep_cg_bt_sp,508.92,208.74,30.31,,,,,363.1,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.989271,0.875922,0.985153,,,,,1.115698
ep_cg_ft_bt,463.74,194.75,30.58,141.68,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.085651,0.938845,0.976455,1.330251,,,,
ep_cg_ft_lu,,166.97,29.94,131.16,,224.92,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.095047,0.997328,1.436947,,1.164770,,
ep_cg_ft_sp,,257.79,30.42,155.11,,,,389.89,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.709259,0.981591,1.215073,,,,1.039037
ep_cg_mg_bt,493.99,194.16,30.83,,,,19.22,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.019170,0.941698,0.968537,,,,1.750260,
ep_cg_mg_ft,,196.72,31.09,139.93,,,19.43,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.929443,0.960437,1.346888,,,1.731343,
